[2026-06-24 09:48:27] [INFO    ] discord.client: logging in using static token
[2026-06-24 09:48:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-06-24 09:48:27] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-06-24 09:48:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1518483795416977408', 'username': 'Kaguya', 'avatar': 'a_6e9d0369f824169052d7cbc386ce6934', 'discriminator': '8474', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-06-24 09:48:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-06-24 09:48:27] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-06-24 09:48:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1518483795416977408', 'name': 'Kaguya', 'icon': None, 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1518483795416977408', 'username': 'Kaguya', 'avatar': 'a_6e9d0369f824169052d7cbc386ce6934', 'discriminator': '8474', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a33e17b20468f98ada849fa2b660c40ba9ad6214be29491926ac09d77da6dade', 'flags': 565248, 'flags_new': '565248', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '741524640559661097', 'username': 'argb_pyrlef27', 'avatar': 'f0f28ac58fc6c232e8132cf9cf6ff20d', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1451861, 'global_name': 'Yachiroha', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#162755', 'clan': {'identity_guild_id': '1255880192891814031', 'identity_enabled': True, 'tag': "K'sA", 'badge': 'a096c02b558e6bcff7b1c10269fb6cd5'}, 'primary_guild': {'identity_guild_id': '1255880192891814031', 'identity_enabled': True, 'tag': "K'sA", 'badge': 'a096c02b558e6bcff7b1c10269fb6cd5'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-06-24 09:48:28] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-06-24 09:48:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-55rl",{"micros":0.0}]']}}
[2026-06-24 09:48:28] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-06-24 09:48:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
